Lat,Lon
-5.4496,36.5051
-5.4496,36.5557
-5.5001,35.6948
-5.5001,35.7455
-5.5001,35.7961
-5.5001,35.8468
-5.5001,35.8974
-5.5001,35.948
-5.5001,35.9987
-5.5001,36.0493
-5.5001,36.1
-5.5001,36.1506
-5.5001,36.2012
-5.5001,36.2519
-5.5001,36.3025
-5.5001,36.3532
-5.5001,36.4038
-5.5001,36.4545
-5.5001,36.5051
-5.5001,36.5557
-5.5001,36.6064
-5.5506,35.6948
-5.5506,35.7455
-5.5506,35.7961
-5.5506,35.8468
-5.5506,35.8974
-5.5506,35.948
-5.5506,35.9987
-5.5506,36.0493
-5.5506,36.1
-5.5506,36.1506
-5.5506,36.2012
-5.5506,36.2519
-5.5506,36.3025
-5.5506,36.3532
-5.5506,36.4038
-5.5506,36.4545
-5.5506,36.5051
-5.5506,36.5557
-5.5506,36.6064
-5.6012,35.7961
-5.6012,35.8468
-5.6012,35.8974
-5.6012,35.948
-5.6012,35.9987
-5.6012,36.0493
-5.6012,36.1
-5.6012,36.1506
-5.6012,36.2012
-5.6012,36.2519
-5.6012,36.3025
-5.6012,36.3532
-5.6012,36.4038
-5.6012,36.4545
-5.6012,36.5051
-5.6012,36.5557
-5.6012,36.6064
-5.6012,36.657
-5.6517,35.7961
-5.6517,35.8468
-5.6517,35.8974
-5.6517,35.948
-5.6517,35.9987
-5.6517,36.0493
-5.6517,36.1
-5.6517,36.1506
-5.6517,36.2012
-5.6517,36.2519
-5.6517,36.3025
-5.6517,36.3532
-5.6517,36.4038
-5.6517,36.4545
-5.6517,36.5051
-5.6517,36.5557
-5.6517,36.6064
-5.6517,36.657
-5.7022,35.7455
-5.7022,35.7961
-5.7022,35.8468
-5.7022,35.8974
-5.7022,35.948
-5.7022,35.9987
-5.7022,36.0493
-5.7022,36.1
-5.7022,36.1506
-5.7022,36.2012
-5.7022,36.2519
-5.7022,36.3025
-5.7022,36.3532
-5.7022,36.4038
-5.7022,36.4545
-5.7022,36.5051
-5.7022,36.5557
-5.7022,36.6064
-5.7022,36.657
-5.7528,35.7455
-5.7528,35.7961
-5.7528,35.8468
-5.7528,35.8974
-5.7528,35.948
-5.7528,35.9987
-5.7528,36.0493
-5.7528,36.1
-5.7528,36.1506
-5.7528,36.2012
